bot_config,lam_confirm,lam_disconfirm,session_id,round,draw_red,draw_blue,true_bayes_mode,bot_mode,modes_diverge,quadratic_score
bayesian,0.0,0.0,0,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,0,2,3,0,20,20,0,-0.19404168099988536
bayesian,0.0,0.0,0,3,2,1,18,18,0,-0.1608112109128863
bayesian,0.0,0.0,0,4,0,3,13,13,0,0.17174554358161714
bayesian,0.0,0.0,0,5,1,2,12,12,0,0.3809107442517137
bayesian,0.0,0.0,1,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,1,2,2,1,17,17,0,-0.009051427588579297
bayesian,0.0,0.0,1,3,1,2,13,13,0,0.16518572722541386
bayesian,0.0,0.0,1,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,1,5,2,1,13,13,0,0.12947396111233592
bayesian,0.0,0.0,2,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,2,2,0,3,6,6,0,-0.018038355693154443
bayesian,0.0,0.0,2,3,2,1,9,9,0,0.03501169576149095
bayesian,0.0,0.0,2,4,2,1,10,10,0,0.09483927447465865
bayesian,0.0,0.0,2,5,2,1,11,11,0,0.16889017298299466
bayesian,0.0,0.0,3,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,3,2,3,0,13,13,0,0.1408883728930168
bayesian,0.0,0.0,3,3,3,0,16,16,0,-0.01800968856186927
bayesian,0.0,0.0,3,4,0,3,12,12,0,0.2742807183163309
bayesian,0.0,0.0,3,5,3,0,13,13,0,0.12947396111233586
bayesian,0.0,0.0,4,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,4,2,2,1,17,17,0,-0.009051427588579297
bayesian,0.0,0.0,4,3,2,1,16,16,0,-0.01800968856186927
bayesian,0.0,0.0,4,4,2,1,15,15,0,-0.062306743348037166
bayesian,0.0,0.0,4,5,1,2,13,13,0,0.12947396111233592
bayesian,0.0,0.0,5,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,5,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,5,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,5,4,1,2,12,12,0,0.274280718316331
bayesian,0.0,0.0,5,5,2,1,12,12,0,0.3809107442517137
bayesian,0.0,0.0,6,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,6,2,1,2,6,6,0,-0.01803835569315447
bayesian,0.0,0.0,6,3,3,0,11,11,0,0.1921919767807812
bayesian,0.0,0.0,6,4,2,1,12,12,0,0.27428071831633083
bayesian,0.0,0.0,6,5,2,1,12,12,0,0.3809107442517135
